Date;Date_num;Qnt;Dinamic;Week_day;Week;Month; Temp ; Pressure ; Humidity ;Wind;Marketing
15.09.2019;43723;0;-1;7;38;9;16,9;742;47,6;2,38;0
16.09.2019;43724;2568;0;1;38;9;17,4;738,3;36;2,88;0
17.09.2019;43725;2662;0,04;2;38;9;16,9;733,6;60,4;2,13;0
18.09.2019;43726;1994;-0,25;3;38;9;13,9;732,5;75;3,25;0
19.09.2019;43727;2074;0,04;4;38;9;11,1;739;59,5;2,38;0
20.09.2019;43728;2216;0,07;5;38;9;11,3;738,8;55;0,88;0
21.09.2019;43729;3459;0,56;6;38;9;8,3;738,5;65,8;1,75;0
22.09.2019;43730;0;-1;7;39;9;10,6;738,3;61,6;3,75;0
23.09.2019;43731;2636;0;1;39;9;10,4;737,9;69,4;2,13;0
24.09.2019;43732;2526;-0,04;2;39;9;8,3;740,3;58,1;2;0
25.09.2019;43733;2182;-0,14;3;39;9;9,7;740,3;45,2;2;0
26.09.2019;43734;1707;-0,22;4;39;9;9,4;739,4;45,8;1,88;0
27.09.2019;43735;2156;0,26;5;39;9;10,1;737,4;80,3;1,13;0
28.09.2019;43736;3097;0,44;6;39;9;13,9;738,8;67,1;1,25;0
29.09.2019;43737;0;-1;7;40;9;14,8;737,8;76,3;2,88;0
30.09.2019;43738;2287;0;1;40;9;15,4;735,4;79,5;2,5;0
01.10.2019;43739;2410;0,05;2;40;10;15,6;732,6;82,6;3,63;0
02.10.2019;43740;2114;-0,12;3;40;10;14,1;738,3;71,3;1;0
03.10.2019;43741;2018;-0,05;4;40;10;16;735,8;65,9;2,13;0
04.10.2019;43742;2098;0,04;5;40;10;17,9;733,9;75,8;2,5;0
05.10.2019;43743;3043;0,45;6;40;10;18,3;730,5;80,4;2,25;0
06.10.2019;43744;0;-1;7;41;10;10,1;729;85,5;2,38;0
07.10.2019;43745;2507;0;1;41;10;7,6;736;68;1,88;0
08.10.2019;43746;2682;0,07;2;41;10;6,1;739,8;78,3;2,13;0
09.10.2019;43747;2434;-0,09;3;41;10;5,3;744,6;67,1;2,25;0
10.10.2019;43748;2170;-0,11;4;41;10;10,5;741;66,9;3;0
11.10.2019;43749;2261;0,04;5;41;10;11,3;738,1;93,1;1,63;0
12.10.2019;43750;3342;0,48;6;41;10;10;744,3;78,8;1,63;0
13.10.2019;43751;0;-1;7;42;10;13,3;744,8;65,6;3,38;0
14.10.2019;43752;2553;0;1;42;10;14,1;744,6;68,3;1,25;0
15.10.2019;43753;2536;-0,01;2;42;10;14;742,6;70,8;0,5;0
16.10.2019;43754;2284;-0,1;3;42;10;15,6;742,8;69,6;1,38;0
17.10.2019;43755;2133;-0,07;4;42;10;14,1;742,5;70,9;2,75;0
18.10.2019;43756;2434;0,14;5;42;10;12,6;740,1;81,9;1,13;0
19.10.2019;43757;3268;0,34;6;42;10;13,3;741,3;78,9;0,63;0
20.10.2019;43758;0;-1;7;43;10;12,7;743,6;80;0,71;0
21.10.2019;43759;2528;0;1;43;10;13;745;75,3;1,63;0
22.10.2019;43760;2911;0,15;2;43;10;14;744;69,8;0,38;0
23.10.2019;43761;2318;-0,2;3;43;10;13,4;743;72,1;0,25;0
24.10.2019;43762;2184;-0,06;4;43;10;12,4;741,6;76,3;0,75;0
25.10.2019;43763;2403;0,1;5;43;10;9,5;740,8;93,8;1,88;0
26.10.2019;43764;3614;0,5;6;43;10;10,3;741,5;88,3;1,13;0
27.10.2019;43765;0;-1;7;44;10;11,2;741,1;80,6;1,33;0
28.10.2019;43766;2550;0;1;44;10;9,5;737;88,3;2,38;0
29.10.2019;43767;2798;0,1;2;44;10;8,6;737;92,9;0,75;0
30.10.2019;43768;2464;-0,12;3;44;10;5;739,5;71;1,63;0
31.10.2019;43769;2097;-0,15;4;44;10;-1,3;743,9;61,4;1,25;0
01.11.2019;43770;2380;0,13;5;44;11;-2,8;744,4;61,1;1;0
02.11.2019;43771;3567;0,5;6;44;11;-0,7;745,4;61;1,71;0
03.11.2019;43772;0;-1;7;45;11;3;743,1;67,7;3,57;0
04.11.2019;43773;2493;0;1;45;11;7,4;738,9;64;4,38;0
05.11.2019;43774;2586;0,04;2;45;11;10,8;736,3;76,1;3,88;0
06.11.2019;43775;2539;-0,02;3;45;11;13;735,9;92,1;4,13;0
07.11.2019;43776;2102;-0,17;4;45;11;14,3;736,6;86,1;3,75;0
08.11.2019;43777;2555;0,22;5;45;11;12,5;739,3;92;2,13;0
09.11.2019;43778;3645;0,43;6;45;11;10;742,9;93,1;3,75;0
10.11.2019;43779;0;-1;7;46;11;7,5;743,1;92,5;4;0
11.11.2019;43780;2699;0;1;46;11;6,6;741,6;98,3;3,13;0
12.11.2019;43781;2899;0,07;2;46;11;7,1;745;99,6;1,88;0
13.11.2019;43782;2300;-0,21;3;46;11;6,4;745,9;98,8;5,25;0
14.11.2019;43783;2404;0,05;4;46;11;5,5;743,9;79,3;7;0
15.11.2019;43784;2515;0,05;5;46;11;5,4;744,5;73,6;6,88;0
16.11.2019;43785;3863;0,54;6;46;11;4,1;746;85,6;4,38;0
17.11.2019;43786;0;-1;7;47;11;3,6;746,5;87,8;3,75;0
18.11.2019;43787;2771;0;1;47;11;3,4;745,6;93,1;2,75;0
19.11.2019;43788;3076;0,11;2;47;11;1,1;746,1;100;2,63;0
20.11.2019;43789;2491;-0,19;3;47;11;0,5;748;95;4,75;0
21.11.2019;43790;2547;0,02;4;47;11;-6,8;752,4;67,6;7,25;0
22.11.2019;43791;2475;-0,03;5;47;11;-8,3;752,1;60,9;7,5;0
23.11.2019;43792;3771;0,52;6;47;11;-6;749,6;54,8;7,25;0
24.11.2019;43793;0;-1;7;48;11;-3,6;747;66,1;6,63;0
25.11.2019;43794;2569;0;1;48;11;-2,4;743,8;72,1;6,38;0
26.11.2019;43795;3107;0,21;2;48;11;0,6;739,4;81,8;5,88;0
27.11.2019;43796;2591;-0,17;3;48;11;2,1;736;93,6;4,75;0
28.11.2019;43797;2265;-0,13;4;48;11;3;736,1;100;2,5;0
29.11.2019;43798;2464;0,09;5;48;11;5,4;733,5;97;3,38;0
30.11.2019;43799;3663;0,49;6;48;11;5,8;730;97,1;2,75;0
01.12.2019;43800;0;-1;7;49;12;0,1;737,6;86;2;0
02.12.2019;43801;2661;0;1;49;12;-2,8;744,6;91,1;1,38;0
03.12.2019;43802;2937;0,1;2;49;12;-1,5;736,4;90;4;0
04.12.2019;43803;2382;-0,19;3;49;12;-3,3;743,9;83,3;1,75;0
05.12.2019;43804;2227;-0,07;4;49;12;-2,5;745,4;88,9;3,75;0
06.12.2019;43805;2662;0,2;5;49;12;1,3;745;87,6;3,63;0
07.12.2019;43806;3894;0,46;6;49;12;1,6;740,6;93;2,13;0
08.12.2019;43807;0;-1;7;50;12;1,6;737,1;84,5;1;0
09.12.2019;43808;3035;0;1;50;12;2;739;88,6;1;0
10.12.2019;43809;2641;-0,13;2;50;12;1,3;740;100;1;0
11.12.2019;43810;2094;-0,21;3;50;12;0,5;741,3;100;2;0
12.12.2019;43811;1681;-0,2;4;50;12;-0,4;740,1;97,3;4,75;0
13.12.2019;43812;2010;0,2;5;50;12;-1;735,5;94,9;6,5;0
14.12.2019;43813;3559;0,77;6;50;12;2;734,1;96,6;4,5;0
15.12.2019;43814;0;-1;7;51;12;5,4;735,3;96,3;2,75;0
16.12.2019;43815;2258;0;1;51;12;4,1;742,5;92,3;3,25;0
17.12.2019;43816;2243;-0,01;2;51;12;5,5;743,1;98,6;2,13;0
18.12.2019;43817;1256;-0,44;3;51;12;5,9;742,9;94,5;3,13;0
19.12.2019;43818;50;-0,96;4;51;12;5;743,3;98;3,13;0
20.12.2019;43819;95;0,9;5;51;12;1,8;744,9;88,5;1;0
21.12.2019;43820;1641;16,27;6;51;12;0,6;738,3;94,5;2,75;0
22.12.2019;43821;0;-1;7;52;12;5,7;733,4;92,7;4,29;0
23.12.2019;43822;1462;0;1;52;12;5,5;731,1;89,5;4,38;0
24.12.2019;43823;2204;0,51;2;52;12;3,9;730,9;93,5;5,25;0
25.12.2019;43824;1828;-0,17;3;52;12;1,4;730,9;97,5;4,63;0
26.12.2019;43825;1774;-0,03;4;52;12;1,3;730,6;96,4;2;0
27.12.2019;43826;2040;0,15;5;52;12;3,3;732,1;98,5;1;0
28.12.2019;43827;2700;0,32;6;52;12;2,6;737,1;90,3;1,25;0
29.12.2019;43828;0;-1;7;53;12;0,7;743,2;88,7;2;0
30.12.2019;43829;3710;0;1;53;12;-0,6;746,6;92,8;1,5;0
31.12.2019;43830;0;-1;2;53;12;-1,1;736,3;90,6;4,63;0
01.01.2020;43831;0;0;3;1;1;0,9;734,1;94;2,63;0
02.01.2020;43832;0;0;4;1;1;-1;743,3;81;2,13;0
03.01.2020;43833;2236;0;5;1;1;-0,5;741,6;92,9;2,25;0
04.01.2020;43834;3059;0,37;6;1;1;1,8;736,8;93,1;2,63;0
05.01.2020;43835;0;-1;7;2;1;1,3;735,4;96,3;1,38;0
06.01.2020;43836;2670;0;1;2;1;0,1;741,5;97,4;2,25;0
07.01.2020;43837;2490;-0,07;2;2;1;-1,5;741,8;94,6;3,13;0
08.01.2020;43838;2094;-0,16;3;2;1;-2,4;743,4;92,3;3,63;0
09.01.2020;43839;1747;-0,17;4;2;1;-2,6;742,8;97,3;1,38;0
10.01.2020;43840;1959;0,12;5;2;1;-0,8;741,8;96,8;1,13;0
11.01.2020;43841;2936;0,5;6;2;1;2;738,3;99;3,5;0
12.01.2020;43842;0;-1;7;3;1;-0,1;740,1;90,3;3,38;0
13.01.2020;43843;2757;0;1;3;1; -     ;742,3;88,3;3,25;0
14.01.2020;43844;2595;-0,06;2;3;1;0,1;744,5;97;1,38;0
15.01.2020;43845;2170;-0,16;3;3;1;1,4;750,3;86,9;1,13;0
16.01.2020;43846;1951;-0,1;4;3;1;-1,1;750,4;87;1,38;0
17.01.2020;43847;1898;-0,03;5;3;1;-1,4;746,4;97;1,75;0
18.01.2020;43848;3186;0,68;6;3;1;-1,4;750,4;92,4;2,63;0
19.01.2020;43849;0;-1;7;4;1;-3,6;747,9;97,9;1,63;0
20.01.2020;43850;2570;0;1;4;1;-4;749;95;1,13;0
21.01.2020;43851;2519;-0,02;2;4;1;-1,5;744,8;93,9;3,13;0
22.01.2020;43852;2318;-0,08;3;4;1; -     ;734,1;97;4,75;0
23.01.2020;43853;2341;0,01;4;4;1;-0,9;733,8;84,1;3,13;0
24.01.2020;43854;2556;0,09;5;4;1;-2,8;741,6;84,1;2,63;0
25.01.2020;43855;3761;0,47;6;4;1;1,1;736,9;83,4;4,75;0
26.01.2020;43856;0;-1;7;5;1;0,5;740,8;83,9;1,88;0
27.01.2020;43857;2784;0;1;5;1;1,1;740,9;84;2;0
28.01.2020;43858;2859;0,03;2;5;1;1,5;736;98,9;1,25;0
29.01.2020;43859;2600;-0,09;3;5;1;4;730,8;98,3;3,63;0
30.01.2020;43860;2207;-0,15;4;5;1;1,5;732;85,9;4,25;0
31.01.2020;43861;2530;0,15;5;5;1;0,4;733,4;85,8;2,13;0
01.02.2020;43862;3722;0,47;6;5;2;1,4;732,4;97,3;2,88;0
02.02.2020;43863;0;-1;7;6;2;4;731,8;93,8;4,25;0
03.02.2020;43864;2449;0;1;6;2;4,4;725,6;94,1;3,38;0
04.02.2020;43865;2292;-0,06;2;6;2;0,6;728,6;83,1;2,88;0
05.02.2020;43866;2162;-0,06;3;6;2;0,1;728;94,3;4,13;0
06.02.2020;43867;2012;-0,07;4;6;2;-2,1;729,3;96,4;4,63;0
07.02.2020;43868;2242;0,11;5;6;2;-7,6;729,9;93,3;1,75;0
08.02.2020;43869;3595;0,6;6;6;2;-11,8;739,5;91,3;1,63;0
09.02.2020;43870;0;-1;7;7;2;-12,8;747,1;92,5;0,75;0
10.02.2020;43871;2645;0;1;7;2;-8,5;745,1;92;3,25;0
11.02.2020;43872;2379;-0,1;2;7;2;-1,5;732,3;89,6;5,13;0
12.02.2020;43873;2528;0,06;3;7;2;-0,4;726,1;96,3;5,38;0
13.02.2020;43874;2103;-0,17;4;7;2;0,3;735;93,5;3,88;0
14.02.2020;43875;2010;-0,04;5;7;2;0,5;743,8;89;1,5;0
15.02.2020;43876;3580;0,78;6;7;2;-1,5;746,6;92,9;1,5;0
16.02.2020;43877;0;-1;7;8;2;-1,9;750,6;85,3;2;0
17.02.2020;43878;2304;0;1;8;2;0,3;748,8;81,8;3;0
18.02.2020;43879;2019;-0,12;2;8;2;1,1;742,5;94,1;3,13;0
19.02.2020;43880;2106;0,04;3;8;2;1,8;738,9;97,4;1,25;0
20.02.2020;43881;1856;-0,12;4;8;2;0,6;739,8;95,3;2,75;0
21.02.2020;43882;2469;0,33;5;8;2;0,1;740;95,4;4,57;0
22.02.2020;43883;3776;0,53;6;8;2;0,1;742,1;98,8;2,5;0
23.02.2020;43884;0;-1;7;9;2;1,1;738,5;92,8;3,88;0
24.02.2020;43885;2584;0;1;9;2;2;724,5;96,9;5,25;0
25.02.2020;43886;2479;-0,04;2;9;2;1,9;732,1;79;3,75;0
26.02.2020;43887;2532;0,02;3;9;2;3,6;732;84,3;6,25;0
27.02.2020;43888;2681;0,06;4;9;2;7,4;727,8;79,5;5,5;0
28.02.2020;43889;3166;0,18;5;9;2;3,5;729;91,8;3,25;0
29.02.2020;43890;3973;0,25;6;9;2;2;737,1;76,4;0,88;0
01.03.2020;43891;0;-1;7;10;3;3;742,4;63,5;1,5;0
02.03.2020;43892;2138;0;1;10;3;4;740,4;74;3,38;0
03.03.2020;43893;1885;-0,12;2;10;3;7,5;737,5;75,3;4,75;0
04.03.2020;43894;1723;-0,09;3;10;3;11,1;737,5;61,5;3,5;0
05.03.2020;43895;1616;-0,06;4;10;3;12,5;735,5;44;4,13;0
06.03.2020;43896;1759;0,09;5;10;3;8,8;734,4;71,8;4,75;0
07.03.2020;43897;3049;0,73;6;10;3;8,9;737,8;77,1;3,38;0
08.03.2020;43898;0;-1;7;11;3;11,3;741,8;65;3,63;0
09.03.2020;43899;2001;0;1;11;3;14,3;739,5;52,1;3,38;0
10.03.2020;43900;1561;-0,22;2;11;3;10,3;733,6;67,1;4,25;0
11.03.2020;43901;1610;0,03;3;11;3;8,4;732,6;90,4;4,75;0
12.03.2020;43902;1838;0,14;4;11;3;8,9;737;64,5;3,88;0
13.03.2020;43903;2052;0,12;5;11;3;9,8;735,1;66,1;4,25;0
14.03.2020;43904;3407;0,66;6;11;3;7,3;733,3;67,6;3,25;0
15.03.2020;43905;0;-1;7;12;3;-0,5;740,1;60,8;2,63;0
16.03.2020;43906;2497;0;1;12;3;-2,1;746,6;63,5;1,5;0
17.03.2020;43907;2009;-0,2;2;12;3;2;748,8;58,3;0,75;0
18.03.2020;43908;2466;0,23;3;12;3;3,6;747,6;48,3;2,13;0
19.03.2020;43909;2278;-0,08;4;12;3;5,3;741,8;51,8;1,63;0
20.03.2020;43910;2047;-0,1;5;12;3;7,9;738,5;49,3;2,38;0
21.03.2020;43911;3238;0,58;6;12;3;8,1;738,5;46,9;2,13;0
22.03.2020;43912;0;-1;7;13;3;5,8;736,4;87;3,25;0
23.03.2020;43913;1773;0;1;13;3;-1,8;743,3;83,8;4,63;0
24.03.2020;43914;2260;0,27;2;13;3;-1,1;746;65,6;6,13;0
25.03.2020;43915;2274;0,01;3;13;3;4,4;748,3;55,5;5,88;0
26.03.2020;43916;2019;-0,11;4;13;3;6,8;747,6;42,4;5,25;0
27.03.2020;43917;2148;0,06;5;13;3;10,3;742,8;32,5;5,88;0
28.03.2020;43918;3209;0,49;6;13;3;11,4;736,3;33,3;6,13;0
29.03.2020;43919;0;-1;7;14;3;9,6;730,1;45,4;3,43;0
30.03.2020;43920;2678;0;1;14;3;10,6;728,3;58,3;2,13;0
31.03.2020;43921;1961;-0,27;2;14;3;7,5;734;66,5;3,25;0
01.04.2020;43922;1929;-0,02;3;14;4;1,4;738,9;50,4;2,5;0
02.04.2020;43923;1754;-0,09;4;14;4;3,9;738,1;39,6;2,88;0
03.04.2020;43924;2049;0,17;5;14;4;6,8;737,1;34,9;2,13;0
04.04.2020;43925;3109;0,52;6;14;4;9,3;740,3;33,1;1,38;0
05.04.2020;43926;0;-1;7;15;4;8,8;744,6;31,1;2,88;0
06.04.2020;43927;2136;0;1;15;4;6;748,8;29,8;3,63;0
07.04.2020;43928;1846;-0,14;2;15;4;6,6;750,8;26,5;2;0
08.04.2020;43929;2023;0,1;3;15;4;7,5;747,5;32,4;2;0
09.04.2020;43930;1763;-0,13;4;15;4;10,5;739,5;38,6;2,13;0
10.04.2020;43931;1829;0,04;5;15;4;12,6;735,5;39,9;3;0
11.04.2020;43932;2727;0,49;6;15;4;8,6;736,4;53,5;2,63;0
12.04.2020;43933;0;-1;7;16;4;5,9;742,1;42,5;2,25;0
13.04.2020;43934;2256;0;1;16;4;7,6;741,8;32,9;3,25;0
14.04.2020;43935;2145;-0,05;2;16;4;8,4;735,9;65,4;4,88;0
15.04.2020;43936;2512;0,17;3;16;4;6,1;733,3;71,5;3,13;0
16.04.2020;43937;2609;0,04;4;16;4;8;735,9;53;3,88;0
17.04.2020;43938;2717;0,04;5;16;4;11,8;732,5;45,5;4,75;0
18.04.2020;43939;4307;0,59;6;16;4;10,3;735,9;34,8;1,63;0
19.04.2020;43940;0;-1;7;17;4;10,4;737,1;39;1,63;0
20.04.2020;43941;0;0;1;17;4;8,5;734,9;67,4;1,63;0
21.04.2020;43942;1731;0;2;17;4;5,5;737,6;57,9;1,5;0
22.04.2020;43943;1734;0;3;17;4;6,9;737,5;51,1;2;0
23.04.2020;43944;2163;0,25;4;17;4;9,6;738,3;43;1,88;0
24.04.2020;43945;2237;0,03;5;17;4;12,4;735,4;34,9;3,5;0
25.04.2020;43946;3207;0,43;6;17;4;12,4;731,5;37,8;3,88;0
26.04.2020;43947;0;-1;7;18;4;10;728,1;58,6;4,75;0
27.04.2020;43948;2210;0;1;18;4;8,8;730,5;53,9;4,63;0
28.04.2020;43949;1900;-0,14;2;18;4;11,3;736,3;45,3;1,75;0
29.04.2020;43950;2247;0,18;3;18;4;12,9;737,3;38,5;2,5;0
30.04.2020;43951;1725;-0,23;4;18;4;14,3;734,9;37,8;1,75;0
01.05.2020;43952;3208;0,86;5;18;5;15,8;733,9;51,4;1,13;0
02.05.2020;43953;0;-1;6;18;5;18,8;733,3;43,5;1,5;0
03.05.2020;43954;0;0;7;19;5;15,9;731,9;66;2,13;0
04.05.2020;43955;2232;0;1;19;5;15,4;732,6;84;1,38;0
05.05.2020;43956;2014;-0,1;2;19;5;16,1;733,1;76,3;2;0
06.05.2020;43957;2187;0,09;3;19;5;14,6;731,1;81,6;3;0
07.05.2020;43958;1886;-0,14;4;19;5;11,9;732,3;74;1,5;0
08.05.2020;43959;2089;0,11;5;19;5;10,8;733,6;74;2,13;0
09.05.2020;43960;3107;0,49;6;19;5;9,5;735,1;83,5;1,63;0
10.05.2020;43961;0;-1;7;20;5;12,5;735,5;55,6;1,63;0
11.05.2020;43962;1729;0;1;20;5;16,3;736,8;54,1;3;0
12.05.2020;43963;1569;-0,09;2;20;5;15,6;733,6;51,8;4,88;0
13.05.2020;43964;1853;0,18;3;20;5;10,8;735,9;61,8;2,5;0
14.05.2020;43965;1832;-0,01;4;20;5;11,9;739,9;54,4;2,75;0
15.05.2020;43966;2125;0,16;5;20;5;14,5;736,3;70,5;1,75;0
16.05.2020;43967;2852;0,34;6;20;5;11;736,3;72,4;2,38;0
17.05.2020;43968;0;-1;7;21;5;13,3;742,6;54,1;2,38;0
18.05.2020;43969;2224;0;1;21;5;13,1;737,8;68,1;1,63;0
19.05.2020;43970;2232;0;2;21;5;13,6;739,9;58,5;1,5;0
20.05.2020;43971;2101;-0,06;3;21;5;16;735;63,4;2,38;0
21.05.2020;43972;1813;-0,14;4;21;5;13;734,1;64,3;1,63;0
22.05.2020;43973;2188;0,21;5;21;5;12,8;734,9;40,8;0,88;0
23.05.2020;43974;2845;0,3;6;21;5;10,8;738,3;49,9;1,5;0
24.05.2020;43975;0;-1;7;22;5;10,5;741,1;62,3;1,38;0
25.05.2020;43976;2054;0;1;22;5;13,9;742,6;63,4;2,25;0
26.05.2020;43977;2009;-0,02;2;22;5;11,8;740,8;87,3;1,5;0
27.05.2020;43978;2039;0,01;3;22;5;14,4;741,1;82,3;1,88;0
28.05.2020;43979;1816;-0,11;4;22;5;19,8;736;62,5;4,25;0
29.05.2020;43980;2106;0,16;5;22;5;17,8;733;88,3;1,38;0
30.05.2020;43981;2933;0,39;6;22;5;13,9;733,6;81,8;4,5;0
31.05.2020;43982;0;-1;7;23;5;15,4;736,3;74,1;4,25;0
01.06.2020;43983;2148;0;1;23;6;15,8;733,4;73,3;3,25;0
02.06.2020;43984;1755;-0,18;2;23;6;15,4;731,6;69,6;1,5;0
03.06.2020;43985;1857;0,06;3;23;6;15,5;731,3;74;1,38;0
04.06.2020;43986;1532;-0,18;4;23;6;14,8;733,9;74,1;2,5;0
05.06.2020;43987;1801;0,18;5;23;6;16,8;737,8;67,9;3,5;0
06.06.2020;43988;2624;0,46;6;23;6;19,6;739,8;61,8;3;0
07.06.2020;43989;0;-1;7;24;6;22,1;738,5;49,5;2,13;0
08.06.2020;43990;2020;0;1;24;6;24;736,5;47;3,5;0
09.06.2020;43991;1499;-0,26;2;24;6;24,9;736;46,8;2,75;0
10.06.2020;43992;1730;0,15;3;24;6;25;735,5;51,1;2,88;0
11.06.2020;43993;1762;0,02;4;24;6;26;732,9;47,1;3,75;0
12.06.2020;43994;2025;0,15;5;24;6;24,4;730,5;52,8;2,5;0
13.06.2020;43995;2959;0,46;6;24;6;22,4;729,8;66,4;2,38;0
14.06.2020;43996;0;-1;7;25;6;20,6;733;86,3;1,13;0
15.06.2020;43997;2346;0;1;25;6;20,5;735,4;76,9;1,38;0
16.06.2020;43998;2063;-0,12;2;25;6;23,1;734,4;60,5;2,63;0
17.06.2020;43999;2219;0,08;3;25;6;23,9;734,4;50,9;2,25;0
18.06.2020;44000;1922;-0,13;4;25;6;22,1;734,4;57,6;2,63;0
19.06.2020;44001;2155;0,12;5;25;6;24;732,6;44,5;3,13;0
20.06.2020;44002;2802;0,3;6;25;6;23,8;731,3;53,4;2,13;0
21.06.2020;44003;0;-1;7;26;6;21,5;730,8;72,3;0,63;0
22.06.2020;44004;1921;0;1;26;6;20,5;733,1;86,9;0,88;0
23.06.2020;44005;2109;0,1;2;26;6;23,4;734,9;70,3;0,5;0
24.06.2020;44006;1809;-0,14;3;26;6;24,1;736,5;60,6;1,63;0
25.06.2020;44007;1636;-0,1;4;26;6;21,8;741;51,6;2;0
26.06.2020;44008;2070;0,27;5;26;6;21,9;743;42,8;2,13;0
27.06.2020;44009;3006;0,45;6;26;6;24;740,5;45;1,25;0
28.06.2020;44010;0;-1;7;27;6;25,4;737;38;0,75;0
29.06.2020;44011;2496;0;1;27;6;22;731,8;64,8;1,13;0
30.06.2020;44012;2118;-0,15;2;27;6;22,5;731,8;73,4;1,38;0
01.07.2020;44013;1794;-0,15;3;27;7;23,6;734,5;71,9;0,88;0
02.07.2020;44014;1599;-0,11;4;27;7;25,1;736,5;62,6;1,13;0
03.07.2020;44015;1803;0,13;5;27;7;27,6;736,3;47,4;1,75;0
04.07.2020;44016;2625;0,46;6;27;7;28,4;735,4;41,3;2;0
05.07.2020;44017;0;-1;7;28;7;28,4;733,4;41;1,63;0
06.07.2020;44018;2121;0;1;28;7;30,1;731,8;29,9;1,13;0
07.07.2020;44019;1823;-0,14;2;28;7;29,3;728,8;33,1;0,88;0
08.07.2020;44020;2204;0,21;3;28;7;25,1;730,1;62;1,29;0
09.07.2020;44021;1958;-0,11;4;28;7;19,9;736,8;61,4;2,5;0
10.07.2020;44022;2216;0,13;5;28;7;21,5;741;48,3;2;0
11.07.2020;44023;2637;0,19;6;28;7;23,5;740,6;40,4;1,38;0
12.07.2020;44024;0;-1;7;29;7;26,6;735,1;39,4;2,25;0
13.07.2020;44025;2251;0;1;29;7;23,4;731;61,6;1,38;0
14.07.2020;44026;1882;-0,16;2;29;7;18,3;731,4;83,8;1,75;0
15.07.2020;44027;2212;0,18;3;29;7;18,9;736,3;55,3;2,88;0
16.07.2020;44028;1911;-0,14;4;29;7;22,3;736,4;45,5;1,38;0
17.07.2020;44029;2184;0,14;5;29;7;21;734,4;59,6;3,43;0
18.07.2020;44030;2694;0,23;6;29;7;19,9;737,1;66,1;2,38;0
19.07.2020;44031;0;-1;7;30;7;21,8;737,5;56,3;2,25;0
20.07.2020;44032;2089;0;1;30;7;23,5;736;48,3;1,63;0
21.07.2020;44033;2084;0;2;30;7;23,3;734,9;54,6;0,63;0
22.07.2020;44034;1949;-0,06;3;30;7;23,4;735,9;55,6;1,13;0
23.07.2020;44035;1942;0;4;30;7;20,4;737;57,6;1,5;0
